#Table1
g,i,r,z
22.76942,21.52388,22.36801,1.002254
23.60315,21.69806,22.99297,1.002011
21.78195,20.93026,21.87032,1.001874
23.13509,21.9902,22.63744,1.001121
21.96646,20.83008,21.38068,1.001385
23.8576,22.72163,21.59867,1.001455
22.6602,21.5843,22.41157,1.001165
24.39092,21.1923,22.57954,1.002065
23.2357,21.91016,22.42515,1.001686
22.29802,20.97178,21.90087,1.001532
22.97152,21.9724,22.15761,1.001544
22.64594,21.22417,22.31828,1.002058
22.93865,21.72675,22.70266,1.001012
22.4226,21.29498,21.35534,1.001947
23.28433,20.79186,21.91427,1.002206
23.30037,21.96341,22.56911,1.001423
22.56691,20.05794,21.39586,1.00187
22.63576,21.7196,22.04447,1.001185
23.29294,22.01678,22.79055,1.001411
23.23639,21.94726,22.48045,1.001478
22.64393,21.47055,22.15014,1.001547
25.838,21.29254,22.41519,1.001444
22.07351,20.95531,21.27139,1.000766
22.86199,21.60954,22.03309,1.000967
23.36696,21.76311,22.38433,1.001161
22.77497,21.49525,22.24463,1.002138
22.53979,21.75585,21.77186,1.001982
22.26317,21.58876,21.98309,1.000916
22.97246,20.63449,21.91491,1.001602
22.5293,21.91889,22.1767,1.002039
21.91019,21.04054,21.51,1.001722
22.09864,21.12104,21.74899,1.002297
22.47698,21.29493,22.26485,1.002225
22.82223,21.22313,22.10405,1.001768
22.89728,21.53235,22.13304,1.001553
22.11108,21.78022,21.65228,1.001699
22.93958,21.84265,22.27503,1.001027
23.08441,21.91142,22.26846,1.000976
22.7788,21.93384,22.41556,1.002475
23.19623,21.67933,22.38714,1.00178
22.45794,21.19844,22.07602,1.002168
22.68178,21.67976,22.08216,1.001896
22.54056,21.65866,22.31645,1.002052
22.71269,21.22135,21.97831,1.001511
23.70906,21.94802,22.55299,1.002083
23.19433,21.75139,22.04596,1.001856
22.99123,21.7753,22.08886,1.001595
22.34208,21.3118,21.92957,1.00078
22.29953,21.6084,21.65392,1.001118
21.87265,21.17058,21.29204,1.000841
22.54416,22.30401,23.13815,1.001
22.53218,21.0436,21.83319,1.001034
22.52108,21.70764,22.87928,1.00246
23.66693,21.3756,21.76762,1.00119
22.58444,21.64701,21.98358,1.002412
23.05784,21.28482,22.11474,1.00186
22.22609,21.50108,21.99257,1.000901
22.75698,22.74847,22.84677,1.002166
25.32742,21.19451,22.58026,1.002387
21.99866,21.84415,21.74011,1.001494
23.01708,20.92835,22.33772,1.001464
22.82106,20.64286,22.37371,1.000783
21.61229,21.35489,21.53008,1.001635
22.43022,21.65433,21.68577,1.001274
23.93191,20.7874,21.82761,1.001106
20.72876,20.23081,20.51517,1.002381
23.62967,20.64567,21.78146,1.002382
23.61925,21.03011,22.3389,1.001944
22.90017,20.85275,21.65121,1.002102
23.88316,21.99018,24.29283,1.00143
22.51966,23.69779,22.41884,1.001152
23.23136,21.94348,22.7059,1.001673
24.95903,20.96392,22.30372,1.001276
22.21781,21.17411,21.92117,1.00119
22.04687,21.45985,21.89678,1.001826
24.10198,21.09211,21.93939,1.00139
23.35035,20.88152,22.80223,1.001029
22.88318,21.39572,22.26701,1.000954
21.54081,20.44502,20.96888,1.001114
23.86891,20.97249,22.54868,1.002369
23.77796,22.04371,22.84939,1.001702
21.43988,21.03437,21.39075,1.002429
22.99187,21.95352,22.33307,1.002471
22.0733,21.56319,22.04941,1.001517
21.75962,21.65314,21.61627,1.000563
23.60337,21.8174,22.93147,1.000517
22.24784,20.7956,21.90987,1.000021
23.67877,21.01143,22.16025,1.000635
24.03816,21.0831,22.53867,1.00075
24.55747,20.9467,22.62384,1.000544
22.94193,20.71641,21.98138,1.000944
23.65533,20.88866,21.96671,1.000039
21.76097,20.74065,21.15127,1.000529
22.75633,19.94896,20.95818,1.000592
21.8419,20.51923,21.42167,1.000097
23.8573,22.44095,22.3112,1.000491
23.11804,22.13101,22.43174,1.000849
23.73514,21.7136,22.81416,1.000372
21.48662,20.46182,20.82806,1.000542
22.24424,19.89279,20.89484,1.000553
22.34126,20.3142,21.36336,1.000847
24.36346,21.9983,23.05617,1.001127
21.97312,20.41968,20.79982,1.000292
23.54288,21.40829,23.22499,1.000804
23.94965,20.82565,21.96567,1.00018
22.7074,20.72078,21.87566,1.00066
23.04542,22.24452,22.72433,1.000614
22.4199,21.20409,21.65697,1.000863
22.73704,22.43151,22.33757,1.000601
23.90466,21.92937,22.67516,1.000506
22.07842,21.58907,21.93052,1.000098
23.27973,22.56629,22.63087,1.000984
22.73693,20.66947,22.58281,1.000756
22.85562,21.95311,22.03815,1.000714
22.5659,21.8293,22.07088,1.000853
21.93531,19.61985,20.50157,1.000565
22.58395,20.48109,22.18799,1.00009
25.10626,21.43382,23.24969,1.000482
23.86627,21.88363,23.25503,1.000512
23.30547,22.08498,22.55417,1.00097
22.61088,21.9323,22.9472,1.000955
22.21622,21.49038,22.31411,1.000452
22.44536,21.33694,22.12547,1.000293
23.17138,21.83098,22.24096,1.000461
21.6914,21.58539,21.59214,1.000121
23.27007,22.37016,23.53544,1.000373
22.82557,21.01535,22.35625,1.000428
23.04255,22.5612,22.73687,1.000588
22.78285,21.81307,22.12188,1.000561
22.07481,20.75945,21.57136,1.00118
22.94479,22.3896,22.56128,1.001193
23.02362,21.78358,22.14025,1.000153
21.55046,20.48742,21.77648,1.000358
21.83242,21.20739,21.54573,1.000875
22.87133,21.91302,21.79748,1.000114
20.93467,20.11065,20.91382,1.000115
21.11642,20.95036,21.44178,1.000596
